Source:,C:/Users/christian/Desktop/EMG_Repo/Kicad/EMG.sch
Date:,16/06/2017 02:37:02 p.m.
Tool:,Eeschema 4.0.2-stable
Generator:,C:/Users/christian/Desktop/PPS/BMS_ISL94212/tools/bom_csv_grouped_by_value.py
Component Count:,46

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,C1,10nF,device:C,EMG:C_0603,
,,C2,0.33uF,device:C,EMG:C_0603,
,,C3,0.33uF,device:C,EMG:C_0603,
,,C4,1uF,device:C,EMG:C_0603,
,,C5,0.68uF,device:C,EMG:C_0603,
,,C6,1uF,device:C,EMG:C_0603,
,,C7,"4,7uF",device:CP,EMG:C_0603,
,,C8,"4,7uF",device:CP,EMG:C_0603,
,,C9,C,device:C,EMG:C_0603,
,,C10,"4,7uF",device:C,EMG:C_0603,
,,C11,1uF,device:C,EMG:C_0603,
,,C12,C,device:C,EMG:C_0603,
,,D1,LED,device:LED,EMG:Pin_Header_Straight_1x02_Pitch1.27mm,
,,IC1,MAX8881EUT33-T,max8881:MAX8881EUT33-T,EMG:sot23-6,
,,P1,nRF24l01,nrf24l01:nRF24l01,EMG:nRF,
,,P2,CONN_01X02,conn:CONN_01X02,EMG:Pin_Header_Straight_1x02_Pitch1.27mm,
,,P3,MICRO_USB_B,conn:MICRO_USB_B,EMG:usb_vert_2,
,,P4,CONN_01X05,conn:CONN_01X05,EMG:Pin_Header_Straight_1x05_Pitch1.27mm,
,,P5,CONN_01X03,conn:CONN_01X03,EMG:Pin_Header_Straight_1x03_Pitch1.27mm,
,,R1,10K,device:R,EMG:R_0603,
,,R2,510K,device:R,EMG:R_0603,
,,R3,43K,device:R,EMG:R_0603,
,,R4,43K,device:R,EMG:R_0603,
,,R5,22K,device:R,EMG:R_0603,
,,R6,22K,device:R,EMG:R_0603,
,,R7,10M,device:R,EMG:R_0603,
,,R8,10M,device:R,EMG:R_0603,
,,R9,10M,device:R,EMG:R_0603,
,,R10,1M,device:R,EMG:R_0603,
,,R11,1M,device:R,EMG:R_0603,
,,R12,43K,device:R,EMG:R_0603,
,,R13,430K,device:R,EMG:R_0603,
,,R14,430K,device:R,EMG:R_0603,
,,R15,43K,device:R,EMG:R_0603,
,,R16,43K,device:R,EMG:R_0603,
,,R17,215K,device:R,EMG:R_0603,
,,R18,215K,device:R,EMG:R_0603,
,,R19,10M,device:R,EMG:R_0603,
,,R20,1600K,device:R,EMG:R_0603,
,,R21,470,device:R,EMG:R_0603,
,,R22,2K,device:R,EMG:R_0603,
,,SW1,SWITCH_INV,device:SWITCH_INV,EMG:Pin_Header_Straight_1x03_Pitch1.27mm,
,,U1,MSP430G2231IPW14,msp430:MSP430G2231IPW14,EMG:TSSOP-14,
,,U2,TLC2274,tlc2274:TLC2274,EMG:TSSOP-14,
,,U3,TLC2274,tlc2274:TLC2274,EMG:TSSOP-14,
,,U4,MCP73831,MCP73831:MCP73831,EMG:sot23-5,



Collated Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,1,C1,10nF,device:C,EMG:C_0603,
2,2,"C2, C3",0.33uF,device:C,EMG:C_0603,
3,3,"C4, C6, C11",1uF,device:C,EMG:C_0603,
4,1,C5,0.68uF,device:C,EMG:C_0603,
5,2,"C7, C8","4,7uF",device:CP,EMG:C_0603,
6,2,"C9, C12",C,device:C,EMG:C_0603,
7,1,C10,"4,7uF",device:C,EMG:C_0603,
8,1,D1,LED,device:LED,EMG:Pin_Header_Straight_1x02_Pitch1.27mm,
9,1,IC1,MAX8881EUT33-T,max8881:MAX8881EUT33-T,EMG:sot23-6,
10,1,P1,nRF24l01,nrf24l01:nRF24l01,EMG:nRF,
11,1,P2,CONN_01X02,conn:CONN_01X02,EMG:Pin_Header_Straight_1x02_Pitch1.27mm,
12,1,P3,MICRO_USB_B,conn:MICRO_USB_B,EMG:usb_vert_2,
13,1,P4,CONN_01X05,conn:CONN_01X05,EMG:Pin_Header_Straight_1x05_Pitch1.27mm,
14,1,P5,CONN_01X03,conn:CONN_01X03,EMG:Pin_Header_Straight_1x03_Pitch1.27mm,
15,1,R1,10K,device:R,EMG:R_0603,
16,1,R2,510K,device:R,EMG:R_0603,
17,5,"R3, R4, R12, R15, R16",43K,device:R,EMG:R_0603,
18,2,"R5, R6",22K,device:R,EMG:R_0603,
19,4,"R7, R8, R9, R19",10M,device:R,EMG:R_0603,
20,2,"R10, R11",1M,device:R,EMG:R_0603,
21,2,"R13, R14",430K,device:R,EMG:R_0603,
22,2,"R17, R18",215K,device:R,EMG:R_0603,
23,1,R20,1600K,device:R,EMG:R_0603,
24,1,R21,470,device:R,EMG:R_0603,
25,1,R22,2K,device:R,EMG:R_0603,
26,1,SW1,SWITCH_INV,device:SWITCH_INV,EMG:Pin_Header_Straight_1x03_Pitch1.27mm,
27,1,U1,MSP430G2231IPW14,msp430:MSP430G2231IPW14,EMG:TSSOP-14,
28,2,"U2, U3",TLC2274,tlc2274:TLC2274,EMG:TSSOP-14,
29,1,U4,MCP73831,MCP73831:MCP73831,EMG:sot23-5,
